# start. pos. GUG,median IFP,20th percentile IFP,80th percentile IFP,global median
-17.0,0.078436022637981,0.01483906754789934,0.28374873031033687,0.07817567727912368
-16.0,0.1126834622206699,0.02781642146095252,0.32869175818946433,0.07817567727912368
-15.0,0.21146904979267261,0.06681795979174306,0.45484188500152467,0.07817567727912368
-14.0,0.15318585602335472,0.04080997755542683,0.41587823543446767,0.07817567727912368
-13.0,0.13829288297170908,0.03362852215760005,0.426347052530935,0.07817567727912368
-12.0,0.2059495111586995,0.06712864707403843,0.45959577567294396,0.07817567727912368
-11.0,0.14834341742505808,0.037975194553454154,0.40445175470126316,0.07817567727912368
-10.0,0.13099919108320796,0.029175670401434678,0.4167595277383852,0.07817567727912368
-9.0,0.1583942059862639,0.044128300197534574,0.4217485378218664,0.07817567727912368
-8.0,0.11631828038801179,0.02498739135762866,0.3780444049253944,0.07817567727912368
-7.0,0.08592936544043639,0.015585772630970215,0.3125265440935677,0.07817567727912368
-6.0,0.09644657508128157,0.021841378409248692,0.3128634157095716,0.07817567727912368
-5.0,0.06933544348762738,0.009192735438696299,0.24800276230022095,0.07817567727912368
-4.0,0.036663700339789544,0.003489266665220197,0.19655588024574866,0.07817567727912368
-3.0,0.030191864601460686,0.0027231258906785134,0.13711536938320618,0.07817567727912368
