# start. pos. UUG,median IFP,20th percentile IFP,80th percentile IFP,global median
-17.0,0.09280447247632172,0.020930237048432786,0.31169561141234653,0.07817567727912368
-16.0,0.07911248398305992,0.016090440467381343,0.28246557701481895,0.07817567727912368
-15.0,0.12417039903336127,0.028964083555981426,0.3243016388973594,0.07817567727912368
-14.0,0.09415039096134709,0.019360171654626078,0.27492143112665796,0.07817567727912368
-13.0,0.077330208848393,0.01563290063469301,0.2456776463723132,0.07817567727912368
-12.0,0.10971440693619992,0.0225660153442273,0.2794615691717703,0.07817567727912368
-11.0,0.07986019382295316,0.0164582659745691,0.23870771170608768,0.07817567727912368
-10.0,0.06394024658444583,0.015724594511972785,0.1983327100728593,0.07817567727912368
-9.0,0.07801623811310611,0.0185628495621022,0.22612018600999756,0.07817567727912368
-8.0,0.07331977585836079,0.01479129472215129,0.24208400155543291,0.07817567727912368
-7.0,0.06250423620668549,0.011137193231421276,0.23069829210076154,0.07817567727912368
-6.0,0.07695302034783162,0.015029430530243373,0.2554597003564428,0.07817567727912368
-5.0,0.09910843093281343,0.019871466771794726,0.3115046890207886,0.07817567727912368
-4.0,0.05572488881861382,0.009230905099267142,0.23217056639183267,0.07817567727912368
-3.0,0.04852961764142795,0.010096673474642152,0.22408727166015768,0.07817567727912368
